experiment,cosine,null_mean,null_sd,p_two_sided
resnet18,0.10981335490942,-4.4922217895429274e-05,0.04507200183138839,0.015
stretch_manh,0.0634002313017845,-0.0011324319428755879,0.044349920794348734,0.1595
