experiment,calibrator,position,operating_point,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
resnet18,raw,post_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,raw,post_ensemble,B_calibrated_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,raw,post_ensemble,C_calibrated_half,0.5,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.5422222222222223,122,103,1,202
resnet18,raw,pre_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,raw,pre_ensemble,B_calibrated_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,raw,pre_ensemble,C_calibrated_half,0.5,0.9488669950738916,0.9276675918863335,0.2028442865916296,1.1079241589570294,0.23499812536809067,0.23500029981268775,0.5007628884205814,-3.034046257575185,0.9950738916256158,0.5422222222222223,122,103,1,202
resnet18,temperature,post_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.19756527638764282,0.9396480268971092,0.23488826879965846,0.23490272437074283,0.6050411444262124,-3.0340248592151,0.9950738916256158,0.7066666666666667,159,66,1,202
resnet18,temperature,post_ensemble,B_calibrated_oof_threshold,0.8499603314533224,0.9488669950738916,0.9276675918863335,0.19756527638764282,0.9396480268971092,0.23488826879965846,0.23490272437074283,0.6050411444262124,-3.0340248592151,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,temperature,post_ensemble,C_calibrated_half,0.5,0.9488669950738916,0.9276675918863335,0.19756527638764282,0.9396480268971092,0.23488826879965846,0.23490272437074283,0.6050411444262124,-3.0340248592151,0.9950738916256158,0.5422222222222223,122,103,1,202
resnet18,temperature,pre_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9501258894362343,0.9316901290108317,0.19878342252656742,0.9705753890413984,0.23464023992581023,0.23464023992581026,0.6036339043393637,-3.16321770849296,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,temperature,pre_ensemble,B_calibrated_oof_threshold,0.8499603314533224,0.9501258894362343,0.9316901290108317,0.19878342252656742,0.9705753890413984,0.23464023992581023,0.23464023992581026,0.6036339043393637,-3.16321770849296,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,temperature,pre_ensemble,C_calibrated_half,0.5,0.9501258894362343,0.9316901290108317,0.19878342252656742,0.9705753890413984,0.23464023992581023,0.23464023992581026,0.6036339043393637,-3.16321770849296,0.9950738916256158,0.5466666666666666,123,102,1,202
resnet18,intercept,post_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.2433886449513276,1.3953013815252313,0.2765655700735238,0.2765662774524539,0.5016434469710153,-3.60164619931586,0.9950738916256158,0.6355555555555555,143,82,1,202
resnet18,intercept,post_ensemble,B_calibrated_oof_threshold,0.9574964307346171,0.9488669950738916,0.9276675918863335,0.2433886449513276,1.3953013815252313,0.2765655700735238,0.2765662774524539,0.5016434469710153,-3.60164619931586,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,intercept,post_ensemble,C_calibrated_half,0.5,0.9488669950738916,0.9276675918863335,0.2433886449513276,1.3953013815252313,0.2765655700735238,0.2765662774524539,0.5016434469710153,-3.60164619931586,0.9950738916256158,0.4533333333333333,102,123,1,202
resnet18,intercept,pre_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9501696770662288,0.931941193470092,0.23175430359736043,1.3909759012547804,0.2652066517645999,0.26520688526922326,0.4858112631766702,-3.5774635200115417,0.9950738916256158,0.6488888888888888,146,79,1,202
resnet18,intercept,pre_ensemble,B_calibrated_oof_threshold,0.9574964307346171,0.9501696770662288,0.931941193470092,0.23175430359736043,1.3909759012547804,0.2652066517645999,0.26520688526922326,0.4858112631766702,-3.5774635200115417,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,intercept,pre_ensemble,C_calibrated_half,0.5,0.9501696770662288,0.931941193470092,0.23175430359736043,1.3909759012547804,0.2652066517645999,0.26520688526922326,0.4858112631766702,-3.5774635200115417,0.9950738916256158,0.48,108,117,1,202
resnet18,platt,post_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.23725612407277125,1.2082506231105696,0.2754823802409962,0.2754865579027407,0.5864463337919666,-3.592870857157674,0.9950738916256158,0.6622222222222223,149,76,1,202
resnet18,platt,post_ensemble,B_calibrated_oof_threshold,0.9372165824233629,0.9488669950738916,0.9276675918863335,0.23725612407277125,1.2082506231105696,0.2754823802409962,0.2754865579027407,0.5864463337919666,-3.592870857157674,0.9950738916256158,0.7022222222222222,158,67,1,202
resnet18,platt,post_ensemble,C_calibrated_half,0.5,0.9488669950738916,0.9276675918863335,0.23725612407277125,1.2082506231105696,0.2754823802409962,0.2754865579027407,0.5864463337919666,-3.592870857157674,0.9950738916256158,0.4533333333333333,102,123,1,202
resnet18,platt,pre_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9510454296661193,0.93517171259157,0.22832702300005914,1.2150874095974629,0.26453960505902374,0.2645431647977947,0.5880452568486156,-3.7294649430018434,0.9950738916256158,0.6533333333333333,147,78,1,202
resnet18,platt,pre_ensemble,B_calibrated_oof_threshold,0.9372165824233629,0.9510454296661193,0.93517171259157,0.22832702300005914,1.2150874095974629,0.26453960505902374,0.2645431647977947,0.5880452568486156,-3.7294649430018434,0.9950738916256158,0.6977777777777778,157,68,1,202
resnet18,platt,pre_ensemble,C_calibrated_half,0.5,0.9510454296661193,0.93517171259157,0.22832702300005914,1.2150874095974629,0.26453960505902374,0.2645431647977947,0.5880452568486156,-3.7294649430018434,0.9950738916256158,0.48444444444444446,109,116,1,202
resnet18,beta,post_ensemble,A_raw_oof_threshold,0.8857100605964661,0.9488669950738916,0.9276675918863335,0.23759327801281666,1.2020450554486937,0.27571582829460295,0.275720459232644,0.5938020811857643,-3.609812913499214,0.9950738916256158,0.6622222222222223,149,76,1,202
