model,kind,spec_image,spec_group,sens_group,auc_group
fold0,single,0.6324786324786325,0.5733333333333334,0.9950738916256158,0.9444991789819376
fold1,single,0.717948717948718,0.6666666666666666,0.9950738916256158,0.9469622331691298
fold2,single,0.7222222222222222,0.6666666666666666,0.9950738916256158,0.9332019704433497
fold3,single,0.688034188034188,0.6222222222222222,0.9901477832512315,0.9419485495347564
fold4,single,0.688034188034188,0.6177777777777778,0.9950738916256158,0.953103448275862
ensemble,ensemble,0.7222222222222222,0.6711111111111111,0.9950738916256158,0.9488669950738916
