view,domain_auc_normal,ks,wasserstein_standardised
native,0.7123114304359671,0.35810952082264164,0.7769941272755979
mp0.8,0.7067359170769104,0.33643788054462626,0.7580800349626856
mp0.5,0.7104772132570502,0.3548402425348311,0.7789022913605581
mp0.25,0.7062084608415223,0.3392288051294723,0.7555769182084973
