experiment,resize,unit,group_threshold,n_normal_groups,n_fp,n_tn,n_pneumonia_groups,median_shift,median_shift_ci_low,median_shift_ci_high,mean_shift,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,mann_whitney_u,mann_whitney_p_one_sided,normalized_median_shift,spearman_rho_normal,spearman_p_two_sided,mann_whitney_p_holm,spearman_p_holm
resnet18,letterbox,filename_group,0.827976405620575,225,74,151,203,0.256783572066984,0.18970552160464718,0.3006889476726112,0.22525320590673714,0.610166457848577,0.4932835153033829,0.725259531054233,8996.0,5.4252023471290506e-14,1.0838524707155097,0.5611323014814062,4.6010562898237125e-20,2.1700809388516203e-13,1.840422515929485e-19
stretch_nhe,stretch,filename_group,0.767041802406311,225,59,166,203,0.26135831461787995,0.1840549983592877,0.31568458926329446,0.23008155465942748,0.5971002654686544,0.45945987339187255,0.7261895037778229,7821.0,4.980676519027055e-12,1.1745850022339284,0.45389246412371687,7.799493925266077e-13,1.4942029557081166e-11,1.5598987850532155e-12
augment_manh,letterbox,filename_group,0.7963282465934753,225,73,152,203,0.23774507260364164,0.1534780455131437,0.28438206772624475,0.20560692309169037,0.5493871665465033,0.4125630857966835,0.6732155731795242,8596.0,1.3099983167932515e-11,1.0460161588278978,0.5115715926946864,2.092728894911933e-16,2.619996633586503e-11,6.278186684735798e-16
stretch_manh,stretch,filename_group,0.40891242027282715,225,52,173,203,0.22353500727240627,0.11387838085998775,0.2933652859705702,0.19232859788536083,0.47354379724321927,0.3043519341929747,0.6258559359715428,6628.0,1.148380371541899e-07,1.1196116020190945,0.412030874436828,1.2417931258012133e-10,1.148380371541899e-07,1.2417931258012133e-10
