experiment,calibrator,split,position,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
augment_manh,raw,known_benchmark,pre_ensemble,0.7969589332739512,0.9560591133004926,0.9461273007571409,0.19412223325689007,0.8951229035682605,0.2355715968690837,0.23557474955689753,0.6638158128269789,-3.303105336833514,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,temperature,oof_cross_fitted,n/a,0.8033391104367678,0.9989904739582463,0.9995097792709605,0.011324701505175788,0.03977843343315758,0.007995633143166139,0.006321137893275986,1.0309133001017559,0.5852662744190474,0.970204081632653,0.9950779327317474,1213,6,73,2377
augment_manh,temperature,known_benchmark,post_ensemble,0.8033391104367678,0.9560591133004926,0.9461273007571409,0.1949280966705621,0.9196126766609175,0.2353216690890061,0.23532384752188604,0.6425057275740587,-3.3031607835114407,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,temperature,known_benchmark,pre_ensemble,0.8033391104367678,0.9540010946907499,0.9436359392072258,0.1954585292969237,0.9228087305194046,0.2356295399770008,0.23563200647534543,0.6364225788984058,-3.2406399663332532,0.9950738916256158,0.68,153,72,1,202
augment_manh,intercept,oof_cross_fitted,n/a,0.8717408651350269,0.9989680400462071,0.9994984115111534,0.01122977130900356,0.038625821184167825,0.006454449160010442,0.0020508485986492175,1.047054079001565,-0.13025153136388085,0.970204081632653,0.9958982772764561,1214,5,73,2377
augment_manh,intercept,known_benchmark,post_ensemble,0.8717408651350269,0.9560591133004926,0.9461273007571409,0.2243726619277468,1.065107087396619,0.26961197331452474,0.26961358137113717,0.6638200681471356,-3.750034680264106,0.9950738916256158,0.6622222222222223,149,76,1,202
augment_manh,intercept,known_benchmark,pre_ensemble,0.8717408651350269,0.9563218390804599,0.9465247249626166,0.21719471746204635,1.0233027698556596,0.2610524086268879,0.26105439510129436,0.6688657008733435,-3.684471917386289,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,platt,oof_cross_fitted,n/a,0.8846075135312879,0.9989151361939362,0.9994741836415155,0.011357644329657583,0.039285213324771966,0.006344348705078974,0.0020206148468050393,0.9800842243321035,-0.14972123215336647,0.970204081632653,0.9950779327317474,1213,6,73,2377
augment_manh,platt,known_benchmark,post_ensemble,0.8846075135312879,0.9560591133004926,0.9461273007571409,0.2269150939680111,1.1356927056332193,0.2697811065073854,0.2697817574129601,0.6168755897182076,-3.753590806566023,0.9950738916256158,0.6622222222222223,149,76,1,202
augment_manh,platt,known_benchmark,pre_ensemble,0.8846075135312879,0.9560591133004925,0.9473853192716429,0.22076615042539033,1.1147725439525518,0.2624824890772184,0.2624868000755952,0.599038612638183,-3.6438678266333255,0.9950738916256158,0.6711111111111111,151,74,1,202
