feature,n_pairs,smd_before,smd_after,balanced,feasible,match_rate,resnet18_wasserstein_before,resnet18_wasserstein_attenuation,resnet18_wasserstein_p,resnet18_ks_before,resnet18_ks_attenuation,resnet18_ks_p,stretch_nhe_wasserstein_before,stretch_nhe_wasserstein_attenuation,stretch_nhe_wasserstein_p,stretch_nhe_ks_before,stretch_nhe_ks_attenuation,stretch_nhe_ks_p,augment_manh_wasserstein_before,augment_manh_wasserstein_attenuation,augment_manh_wasserstein_p,augment_manh_ks_before,augment_manh_ks_attenuation,augment_manh_ks_p,stretch_manh_wasserstein_before,stretch_manh_wasserstein_attenuation,stretch_manh_wasserstein_p,stretch_manh_ks_before,stretch_manh_ks_attenuation,stretch_manh_ks_p,resnet18_wasserstein_after,resnet18_wasserstein_null_attenuation,resnet18_ks_after,resnet18_ks_null_attenuation,stretch_nhe_wasserstein_after,stretch_nhe_wasserstein_null_attenuation,stretch_nhe_ks_after,stretch_nhe_ks_null_attenuation,augment_manh_wasserstein_after,augment_manh_wasserstein_null_attenuation,augment_manh_ks_after,augment_manh_ks_null_attenuation,stretch_manh_wasserstein_after,stretch_manh_wasserstein_null_attenuation,stretch_manh_ks_after,stretch_manh_ks_null_attenuation
file_size_per_pixel,3,-6.009851932222643,,False,False,0.013333333333333334,9.943581402468276,,,0.7017774131802024,,,8.225920898734621,,,0.667997447816972,,,8.14439305245946,,,0.7029295415185489,,,5.656851512800587,,,0.6044262145656731,,,,,,,,,,,,,,,,,,
noise_estimate,3,-2.2944048233917287,,False,False,0.013333333333333334,9.943581402468276,,,0.7017774131802024,,,8.225920898734621,,,0.667997447816972,,,8.14439305245946,,,0.7029295415185489,,,5.656851512800587,,,0.6044262145656731,,,,,,,,,,,,,,,,,,
file_size_bytes,67,-1.795788856754639,-0.04091844921109974,True,True,0.29777777777777775,9.943581402468276,0.4930094162464824,0.0,0.7017774131802024,0.4044971526407861,0.0,8.225920898734621,0.5181935681193522,0.0,0.667997447816972,0.4190700836347151,0.0,8.14439305245946,0.4668596758830046,0.0,0.7029295415185489,0.3842401046903494,0.0,5.656851512800587,0.5567391596884377,0.0,0.6044262145656731,0.3826635586506869,0.0,5.041302139838012,-0.00034375638439120666,0.417910447761194,-0.03715753410317489,3.963301597151779,0.00105096277441294,0.3880597014925373,-0.037353145578496214,4.342104351724442,0.0006045741068416409,0.43283582089552236,-0.03418360734244499,2.5074607550817207,0.0009447481594812118,0.373134328358209,-0.04902252936452981
laplacian_variance,102,-0.7665564806984366,-0.042835122871242505,True,True,0.4533333333333333,9.943581402468276,-0.1939031449010571,1.0,0.7017774131802024,-0.07569999633269764,0.8484,8.225920898734621,-0.20491416192949075,1.0,0.667997447816972,-0.10074390261521748,0.9056,8.14439305245946,-0.1831675072362755,1.0,0.7029295415185489,-0.07393688299610801,0.839,5.656851512800587,-0.24113803744756424,1.0,0.6044262145656731,-0.151635079019091,0.9472,11.871673107986538,-0.00036601733748908025,0.7549019607843137,-0.02504989364823233,9.91152858579711,-0.0008251805905122978,0.7352941176470589,-0.025127199481162456,9.6361812258309,-0.0005629721397153878,0.7549019607843137,-0.02451068136024299,7.020933584729606,-2.770362278919203e-05,0.696078431372549,-0.036247732186330275
aspect,173,0.821556584756453,0.00694652293342372,True,True,0.7688888888888888,9.943581402468276,0.1456159505171427,0.0,0.7017774131802024,0.09396036642497807,0.0026,8.225920898734621,0.1410659655153471,0.0002,0.667997447816972,0.10006232609308463,0.0028,8.14439305245946,0.13153153409722507,0.0004,0.7029295415185489,0.07899895268016377,0.0086,5.656851512800587,0.1679197268440924,0.0002,0.6044262145656731,0.12017067642146473,0.0054,8.495637345003274,-0.0010117014164679776,0.6358381502890174,-0.013751272559208912,7.06552342490175,-0.0007523829672046891,0.6011560693641619,-0.011969530412088926,7.0731485399786855,-0.0008377026689723408,0.6473988439306358,-0.014341214176246899,4.706954551973522,-0.001405022405656479,0.5317919075144508,-0.020372494657993564
near_white_frac,224,-0.11609526856798436,-0.024798620884028826,True,True,0.9955555555555555,9.943581402468276,0.05977127729488907,0.0046,0.7017774131802024,0.04579023980228014,0.0316,8.225920898734621,0.06295178898206799,0.0108,0.667997447816972,0.06436768277706517,0.0174,8.14439305245946,0.03005827368391667,0.131,0.7029295415185489,0.034652282353220154,0.0722,5.656851512800587,0.06924408576518226,0.022,0.6044262145656731,0.06197932509976711,0.0402,9.349240841157043,-0.0006062936785597928,0.6696428571428571,-0.008975039034667773,7.7080844621342965,-0.00044784295823037965,0.625,-0.0071520515514559265,7.899586657099244,-0.000577290661398991,0.6785714285714286,-0.009856598402123015,5.265148001487322,-0.0009526256107848294,0.5669642857142857,-0.014505551253476023
propensity_logit,0,5.4978589024380575,,False,False,0.0,9.943581402468276,,,0.7017774131802024,,,8.225920898734621,,,0.667997447816972,,,8.14439305245946,,,0.7029295415185489,,,5.656851512800587,,,0.6044262145656731,,,,,,,,,,,,,,,,,,
