experiment,fold,clip,n_source,n_target,ks_normal,ks_p_normal,wasserstein_normal,median_gap_normal,n_source_normal,n_target_normal,ks_pneumonia,ks_p_pneumonia,wasserstein_pneumonia,median_gap_pneumonia,n_source_pneumonia,n_target_pneumonia
stretch_nhe,4,1e-06,732,428,0.5913296903460837,1.470081024261451e-38,6.593766439195054,6.723892371182661,244,225,0.06628038439796495,0.5274304019120394,0.4232098669166374,-0.046300380560818866,488,203
stretch_nhe,4,1e-08,732,428,0.5913296903460837,1.470081024261451e-38,6.7072205801012,6.723892371182661,244,225,0.06628038439796495,0.5274304019120394,0.4268290601947903,-0.046300380560818866,488,203
augment_manh,0,0.0001,735,428,0.6610699588477367,6.627619311424044e-49,6.809544224885341,7.93253317304852,243,225,0.1303316111978854,0.013535559227831487,0.46386866790676484,0.41601225785203155,492,203
augment_manh,0,1e-06,735,428,0.6610699588477367,6.627619311424044e-49,8.503269050677314,9.067076661596342,243,225,0.1303316111978854,0.013535559227831487,0.7296049853623927,0.41601225785203155,492,203
augment_manh,0,1e-08,735,428,0.6610699588477367,6.627619311424044e-49,9.02759373855456,9.067076661596342,243,225,0.1303316111978854,0.013535559227831487,0.7503790852702591,0.41601225785203155,492,203
augment_manh,1,0.0001,734,428,0.6886520947176685,1.350164275987833e-53,5.893994823608654,5.727043783501074,244,225,0.09028852920478536,0.17903602696331058,0.39664007857408096,-0.001384817320539966,490,203
augment_manh,1,1e-06,734,428,0.6886520947176685,1.350164275987833e-53,5.916379802272838,5.727043783501074,244,225,0.09028852920478536,0.17903602696331058,0.4529672652247517,-0.001384817320539966,490,203
augment_manh,1,1e-08,734,428,0.6886520947176685,1.350164275987833e-53,5.916379802272838,5.727043783501074,244,225,0.09028852920478536,0.17903602696331058,0.4614476733994294,-0.001384817320539966,490,203
augment_manh,2,0.0001,734,428,0.6664845173041894,7.136286746908332e-50,7.159216365792853,7.9407019123713205,244,225,0.11069669247009148,0.05416550936081696,0.561878013326729,0.4763182044460912,490,203
augment_manh,2,1e-06,734,428,0.6664845173041894,7.136286746908332e-50,8.711352033212723,8.677212702816055,244,225,0.11069669247009148,0.05416550936081696,0.8038865372389657,0.6235852867128138,490,203
augment_manh,2,1e-08,734,428,0.6664845173041894,7.136286746908332e-50,8.893632317879808,8.677212702816055,244,225,0.11069669247009148,0.05416550936081696,0.8654773720203455,0.6235852867128138,490,203
augment_manh,3,0.0001,734,428,0.6261930783242259,1.4044852412715339e-43,6.954360792321921,8.263295176309128,244,225,0.09577762139338494,0.13295034893691574,0.47871433697158694,0.0,490,203
augment_manh,3,1e-06,734,428,0.6261930783242259,1.4044852412715339e-43,7.749711724643485,8.263295176309128,244,225,0.09577762139338494,0.13295034893691574,0.6850988951737491,0.5645018681393044,490,203
