experiment,auc_matched,auc_random_mean,p_one_sided,spec_full,spec_matched,sens_full,sens_matched
resnet18,0.9192678095758486,0.9488921368075951,0.0006,0.6711111111111111,0.5867768595041323,0.9950738916256158,0.9917355371900827
stretch_nhe,0.9588142886414863,0.9669049757530224,0.1465,0.7377777777777778,0.6694214876033058,0.9950738916256158,0.9917355371900827
augment_manh,0.9431732805136261,0.9559934601461649,0.06005,0.6755555555555556,0.5785123966942148,0.9950738916256158,0.9917355371900827
stretch_manh,0.9708353254559114,0.977864889693327,0.13025,0.7688888888888888,0.7272727272727273,0.9950738916256158,0.9917355371900827
