experiment,ks_normal,ks_p_normal,wasserstein_logit_normal,median_logit_source_normal,median_logit_target_normal,ks_pneumonia,ks_p_pneumonia,wasserstein_logit_pneumonia,median_logit_source_pneumonia,median_logit_target_pneumonia
resnet18,0.7017774131802024,4.106596936735508e-92,10.456599446821885,-11.868089691819872,-0.6168495414172827,0.10836030964109782,0.022550859654208284,0.5875398442627231,10.854769505554973,10.854769505554973
stretch_nhe,0.667997447816972,2.3800671266985553e-82,8.5991728424716,-10.787414508458518,-1.6140569694558329,0.18354679802955665,5.322340033398684e-06,1.181416550450329,9.842015545733304,9.024658161136951
augment_manh,0.7029295415185489,1.8253283585130633e-92,8.264210171714009,-8.64242605071441,-0.5542914770723953,0.14039408866995073,0.0010931969000432305,0.8385165270752553,9.161660627009514,8.688250952630854
stretch_manh,0.6044262145656731,5.240138018932392e-66,5.728370747023537,-8.32275304319339,-2.3640763239340923,0.19977480647431387,4.937271727524266e-07,1.4378320452516449,8.43325772194683,7.255762144924831
