experiment,resize,aug,unit,threshold,oof_auc,test_auc,auc_gap,auc_test_minus_oof,auc_drop_oof_minus_test,oof_specificity,test_specificity,specificity_gap,specificity_test_minus_oof,specificity_drop_oof_minus_test,oof_recall,test_recall,test_tn,test_fp,test_fn,test_tp,test_confusion_matrix,evaluation
resnet18,letterbox,nhe,image,0.9500419497489929,0.9995990964014703,0.9536653517422747,-0.04593374465919553,-0.04593374465919553,0.04593374465919553,0.9985174203113417,0.7222222222222222,-0.2762951980891195,-0.2762951980891195,0.2762951980891195,0.9716713881019831,0.9846153846153847,169,65,6,384,"[[169, 65], [6, 384]]",exploratory_known_test
resnet18,letterbox,nhe,filename_group,0.827976405620575,0.9993698414558605,0.9488669950738916,-0.05050284638196889,-0.05050284638196889,0.05050284638196889,0.9967186218211649,0.6711111111111111,-0.3256075107100538,-0.3256075107100538,0.3256075107100538,0.9759183673469388,0.9950738916256158,151,74,1,202,"[[151, 74], [1, 202]]",exploratory_known_test
stretch_nhe,stretch,nhe,image,0.8983102440834045,0.9994150625590976,0.9719811527503835,-0.027433909808714074,-0.027433909808714074,0.027433909808714074,1.0,0.811965811965812,-0.18803418803418803,-0.18803418803418803,0.18803418803418803,0.9747617821272212,0.9846153846153847,190,44,6,384,"[[190, 44], [6, 384]]",exploratory_known_test
stretch_nhe,stretch,nhe,filename_group,0.767041802406311,0.9991063266980296,0.9669184455391353,-0.03218788115889426,-0.03218788115889426,0.03218788115889426,0.9967186218211649,0.7377777777777778,-0.25894084404338713,-0.25894084404338713,0.25894084404338713,0.9751020408163266,0.9950738916256158,166,59,1,202,"[[166, 59], [1, 202]]",exploratory_known_test
augment_manh,letterbox,manh,image,0.8245964646339417,0.999354927019318,0.964212141135218,-0.035142785884100025,-0.035142785884100025,0.035142785884100025,0.9977761304670126,0.6837606837606838,-0.31401544670632886,-0.31401544670632886,0.31401544670632886,0.9768220448107133,0.9948717948717949,160,74,2,388,"[[160, 74], [2, 388]]",exploratory_known_test
augment_manh,letterbox,manh,filename_group,0.7963282465934753,0.9990333327752758,0.9560591133004926,-0.04297421947478319,-0.04297421947478319,0.04297421947478319,0.9958982772764561,0.6755555555555556,-0.3203427217209005,-0.3203427217209005,0.3203427217209005,0.9706122448979592,0.9950738916256158,152,73,1,202,"[[152, 73], [1, 202]]",exploratory_known_test
stretch_manh,stretch,manh,image,0.571917712688446,0.9986609819809104,0.9828402366863905,-0.015820745294519822,-0.015820745294519822,0.015820745294519822,0.9911045218680504,0.8247863247863247,-0.16631819708172568,-0.16631819708172568,0.16631819708172568,0.9714138552665464,0.9948717948717949,193,41,2,388,"[[193, 41], [2, 388]]",exploratory_known_test
stretch_manh,stretch,manh,filename_group,0.40891242027282715,0.9979668848671543,0.9778653530377668,-0.020101531829387564,-0.020101531829387564,0.020101531829387564,0.9844134536505332,0.7688888888888888,-0.2155245647616444,-0.2155245647616444,0.2155245647616444,0.9706122448979592,0.9950738916256158,173,52,1,202,"[[173, 52], [1, 202]]",exploratory_known_test
