comparison,baseline,variant,delta_baseline,delta_variant,delta_diff,ci_low,ci_high,p_two_sided
cùng nhẹ:  letterbox → stretch,resnet18,stretch_nhe,0.610166457848577,0.5971002654686544,-0.013066192379922681,-0.08611621476837011,0.05470618494311303,0.6808
cùng mạnh: letterbox → stretch,augment_manh,stretch_manh,0.5493871665465033,0.4735437972432192,-0.07584336930328411,-0.19189344653227394,0.03858823742559927,0.1916
cùng letterbox: nhẹ → mạnh,resnet18,augment_manh,0.610166457848577,0.5493871665465033,-0.06077929130207371,-0.12964936043981867,-0.005723656272257898,0.0296
cùng stretch:   nhẹ → mạnh,stretch_nhe,stretch_manh,0.5971002654686544,0.4735437972432192,-0.12355646822543515,-0.2357357736139278,-0.023541176350777644,0.0184
baseline → cấu hình bền nhất,resnet18,stretch_manh,0.610166457848577,0.4735437972432192,-0.13662266060535783,-0.25827691991361235,-0.024190648855763427,0.0156
Spearman: cùng nhẹ:  letterbox → stretch,resnet18,stretch_nhe,0.5611323014814062,0.45389246412371687,-0.10723983735768938,-0.15520795489914832,-0.061213523223502785,0.0
Spearman: cùng mạnh: letterbox → stretch,augment_manh,stretch_manh,0.5115715926946864,0.412030874436828,-0.09954071825785843,-0.1616920299370486,-0.03896032571056127,0.0004
Spearman: baseline → cấu hình bền nhất,resnet18,stretch_manh,0.5611323014814062,0.412030874436828,-0.14910142704457824,-0.21599155890737928,-0.08659219302423944,0.0
