experiment,oof_specificity,discrimination_ceiling,achieved,loss_discrimination,loss_threshold,threshold_share
resnet18,0.9967186218211648,0.7733333333333333,0.6711111111111111,0.22338528848783146,0.10222222222222221,0.31394307213401124
stretch_nhe,0.9967186218211648,0.8533333333333334,0.7377777777777778,0.14338528848783139,0.11555555555555563,0.44626237310091427
augment_manh,0.995898277276456,0.7733333333333333,0.6755555555555556,0.22256494394312265,0.09777777777777774,0.30522865402563115
stretch_manh,0.9844134536505332,0.8933333333333333,0.7688888888888888,0.09108012031719992,0.12444444444444447,0.5774026017965591
