experiment,calibrator,position,oracle_specificity,raw_locked_specificity,calibrated_specificity,threshold_recovery,remaining_oracle_gap,recovery_ratio,sensitivity,spec_ci_low,spec_ci_high,sens_ci_low,sens_ci_high,brier_ci_low,brier_ci_high
resnet18,raw,post_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0,0.0
resnet18,raw,pre_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0,0.0
resnet18,temperature,post_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,-0.006860206993353345,-0.003695352854192753
resnet18,temperature,pre_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,-0.005119367454797235,-0.0030351481176141087
resnet18,intercept,post_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.03302042298441044,0.048631572519666134
resnet18,intercept,pre_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.023409564668753678,0.034705432771670645
resnet18,platt,post_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.02793965233685403,0.041025756790961126
resnet18,platt,pre_ensemble,0.7733333333333333,0.7022222222222222,0.6977777777777778,-0.004444444444444362,0.07555555555555549,-0.06249999999999883,0.9950738916256158,-0.01333333333333342,0.0,0.0,0.0,0.02047847958686077,0.030725657946483086
resnet18,beta,post_ensemble,0.7733333333333333,0.7022222222222222,0.7022222222222222,0.0,0.07111111111111112,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.028174774955152228,0.04145105486480815
resnet18,beta,pre_ensemble,0.7733333333333333,0.7022222222222222,0.6844444444444444,-0.01777777777777778,0.0888888888888889,-0.25,0.9950738916256158,-0.03555555555555556,-0.004444444444444362,0.0,0.0,0.019979543676109723,0.03028734262253239
resnet18,isotonic,post_ensemble,0.7733333333333333,0.7022222222222222,0.6311111111111111,-0.07111111111111112,0.14222222222222225,-1.0,0.9950738916256158,-0.10666666666666669,-0.03555555555555556,0.0,0.0,0.02686786509583779,0.04247202693189459
resnet18,isotonic,pre_ensemble,0.7733333333333333,0.7022222222222222,0.68,-0.022222222222222143,0.09333333333333327,-0.31249999999999883,0.9901477832512315,-0.0444444444444444,-0.004444444444444473,-0.014778325123152691,0.0,0.021584710061221198,0.033513712947385914
stretch_nhe,raw,post_ensemble,0.8533333333333334,0.7644444444444445,0.7644444444444445,0.0,0.0888888888888889,0.0,0.9901477832512315,0.0,0.0,0.0,0.0,0.0,0.0
stretch_nhe,raw,pre_ensemble,0.8533333333333334,0.7644444444444445,0.7644444444444445,0.0,0.0888888888888889,0.0,0.9901477832512315,0.0,0.0,0.0,0.0,0.0,0.0
stretch_nhe,temperature,post_ensemble,0.8533333333333334,0.7644444444444445,0.7644444444444445,0.0,0.0888888888888889,0.0,0.9901477832512315,0.0,0.0,0.0,0.0,-0.006274080389487935,-0.0029280319952185965
stretch_nhe,temperature,pre_ensemble,0.8533333333333334,0.7644444444444445,0.76,-0.004444444444444473,0.09333333333333338,-0.050000000000000315,0.9950738916256158,-0.01333333333333342,0.0,0.0,0.014778325123152691,-0.003526214355308254,-0.0013922871579137006
stretch_nhe,intercept,post_ensemble,0.8533333333333334,0.7644444444444445,0.76,-0.004444444444444473,0.09333333333333338,-0.050000000000000315,0.9901477832512315,-0.01333333333333342,0.0,0.0,0.0,0.04202585213495361,0.05892957997590049
stretch_nhe,intercept,pre_ensemble,0.8533333333333334,0.7644444444444445,0.7733333333333333,0.008888888888888835,0.08000000000000007,0.09999999999999938,0.9852216748768473,0.0,0.022222222222222254,-0.014778325123152691,0.0,0.030109913490406415,0.04230618023523097
stretch_nhe,platt,post_ensemble,0.8533333333333334,0.7644444444444445,0.7644444444444445,0.0,0.0888888888888889,0.0,0.9901477832512315,0.0,0.0,0.0,0.0,0.0375765043258494,0.052610903630711574
stretch_nhe,platt,pre_ensemble,0.8533333333333334,0.7644444444444445,0.76,-0.004444444444444473,0.09333333333333338,-0.050000000000000315,0.9901477832512315,-0.01333333333333342,0.0,0.0,0.0,0.02816454202564493,0.039220301734211115
