model,split,threshold,auc,pr_auc,hsas_97,sensitivity,specificity,precision,f1,balanced_accuracy,nll,brier,tn,fp,fn,tp
resnet18_b1,oof,0.4133181273937225,0.9979668848671543,0.9990109053713369,0.9500964838924008,0.970204081632653,0.9844134536505332,0.9920701168614358,0.9810152703260421,0.9773087676415931,0.07185779501715354,0.02057040422242438,1200,19,73,2377
resnet18_b1,known_benchmark,0.4133181273937225,0.9778653530377668,0.9647878799515699,0.8298407360742509,0.9950738916256158,0.7688888888888888,0.7952755905511811,0.8840262582056893,0.8819813902572523,0.3376038101811038,0.08593030314412796,173,52,1,202
densenet121_v5,oof,0.6388598680496216,0.9978527062999112,0.998971482769153,0.9444611921040291,0.970204081632653,0.9909762100082035,0.9953936348408711,0.982637453493179,0.9805901458204282,0.06078703118284465,0.016233219477041587,1208,11,73,2377
densenet121_v5,known_benchmark,0.6388598680496216,0.9801423097974822,0.9704543935356654,0.8386274610025408,0.9950738916256158,0.8044444444444444,0.8211382113821138,0.8997772828507795,0.8997591680350301,0.3629060706787945,0.09636742443167787,181,44,1,202
deit_small,oof,0.1060368865728378,0.9962786492775946,0.9982614696601533,0.9101235449484177,0.970204081632653,0.985233798195242,0.9924843423799582,0.981217750257998,0.9777189399139475,0.13479757187664068,0.029457372592188977,1201,18,73,2377
deit_small,known_benchmark,0.1060368865728378,0.9788943623426383,0.9712762675821999,0.8008518433131684,0.9950738916256158,0.6577777777777778,0.7240143369175627,0.8381742738589212,0.8264258347016968,0.33265819409833536,0.08660735499879399,148,77,1,202
final_rd_ensemble,oof,0.5872680097818375,0.9984798513334785,0.9992631683302126,0.9594201813642517,0.970204081632653,0.9909762100082035,0.9953936348408711,0.982637453493179,0.9805901458204282,0.057725457718151,0.016179449240797932,1208,11,73,2377
final_rd_ensemble,known_benchmark,0.5872680097818375,0.9792446633825943,0.9679567541600382,0.8369051187423115,0.9950738916256158,0.8222222222222222,0.8347107438016529,0.9078651685393259,0.908648056923919,0.34194568342418286,0.08981013201847941,185,40,1,202
