fn_budget,min_sensitivity,oracle_fp,oracle_specificity,threshold,actual_fn
1,0.9950738916256158,31,0.8622222222222222,0.7442248046398163,1
2,0.9901477832512315,30,0.8666666666666667,0.7506937116384507,2
3,0.9852216748768473,25,0.8888888888888888,0.786888736858964,3
4,0.9802955665024631,24,0.8933333333333333,0.8091761082410813,4
5,0.9753694581280788,23,0.8977777777777778,0.8228280276060105,5
6,0.9704433497536946,22,0.9022222222222223,0.8377756550908089,6
