epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,lr
1,0.16436568444910368,0.9467213114754098,0.9714285714285714,0.2058488428592682,231,13,14,476,0.13519881820234786,0.03704243511674958,0.9940699230511877,0.9971832013031289,0.0001
2,0.09018625009778292,0.9631147540983607,0.9714285714285714,0.5569872856140137,235,9,14,476,0.08679121665600509,0.02375632434842522,0.9953914352626295,0.9978279123590923,0.0001
3,0.08163431744515753,0.9590163934426229,0.9714285714285714,0.6916810274124146,234,10,14,476,0.0951658749960599,0.025502412652582705,0.9940281030444964,0.9970890857004509,0.0001
4,0.06178720298007593,0.9631147540983607,0.9714285714285714,0.47284045815467834,235,9,14,476,0.09163415646687098,0.02631454820840104,0.9952576112412178,0.9975466467347248,0.0001
5,0.04615806066708946,0.9672131147540983,0.9714285714285714,0.5036137700080872,236,8,14,476,0.09955134262043092,0.02691737682586984,0.9938273670123787,0.997094400794593,3e-05
6,0.039762248488272006,0.9590163934426229,0.9714285714285714,0.16135373711585999,234,10,14,476,0.1475936242355988,0.035996850498855,0.9950401472064235,0.9976452662115114,3e-05
7,0.03786538641828697,0.9754098360655737,0.9714285714285714,0.6014294624328613,238,6,14,476,0.08097588293782544,0.022314076269475524,0.9966962194713951,0.9983923667410899,3e-05
8,0.03562187105506161,0.9590163934426229,0.9714285714285714,0.3704575002193451,234,10,14,476,0.09604202785021528,0.027025089512798105,0.995926731348277,0.9980091969429585,3e-05
9,0.027573081819442832,0.9590163934426229,0.9714285714285714,0.32523584365844727,234,10,14,476,0.11167799658017799,0.02923463579823242,0.9957594513215122,0.9979617139172682,3e-05
10,0.02290515951964524,0.9713114754098361,0.9714285714285714,0.4792547821998596,237,7,14,476,0.09187645151213902,0.023969209877028236,0.9963616594178654,0.99827747385473,9e-06
11,0.02123743217662955,0.9713114754098361,0.9714285714285714,0.49940627813339233,237,7,14,476,0.09998959504068924,0.025239406507913457,0.9962696554031448,0.9982141691939177,9e-06
12,0.02113595512097697,0.9713114754098361,0.9714285714285714,0.39890989661216736,237,7,14,476,0.10467198984165461,0.026071117646147994,0.9965623954499834,0.9983431776028527,9e-06
