fusion,oof_spec,oof_hsas,ben_spec,fp,fn,sens,thr
probability,0.9909762100082035,0.9594201813642517,0.8222222222222222,40,1,0.9950738916256158,0.5872680097818375
logit,0.9909762100082035,0.9611652360575896,0.8222222222222222,40,1,0.9950738916256158,0.6065122213469302
threshold-centred logit,0.9909762100082035,0.9611652360575896,0.8222222222222222,40,1,0.9950738916256158,0.5799572501144944
