candidate,split,auc,partial_auc_sens97,sensitivity,specificity,tn,fp,fn,tp,threshold,locked
resnet18_b1,oof,0.9979668848671543,0.9620748299319726,0.970204081632653,0.9844134536505332,1200,19,73,2377,0.4133181273937225,False
densenet121,oof,0.9978527062999113,0.9505789070595124,0.970204081632653,0.9909762100082035,1208,11,73,2377,0.6388598680496216,False
ens_probability,oof,0.9984798513334785,0.966493219804478,0.970204081632653,0.9909762100082035,1208,11,73,2377,0.5872680097818375,True
ens_rank,oof,0.9984892266997036,0.9663296253158002,0.970204081632653,0.9917965545529123,1209,10,73,2377,0.3539509536784741,False
resnet18_b1,known_benchmark,0.9778653530377668,0.8766430572915392,0.9950738916256158,0.7688888888888888,173,52,1,202,0.4133181273937225,False
densenet121,known_benchmark,0.9801423097974822,0.859594012517551,0.9950738916256158,0.8044444444444444,181,44,1,202,0.6388598680496216,False
ens_probability,known_benchmark,0.9792446633825943,0.873813972675872,0.9950738916256158,0.8222222222222222,185,40,1,202,0.5872680097818375,True
ens_rank,known_benchmark,0.979737274220033,0.8770495118380293,0.9950738916256158,0.6577777777777778,148,77,1,202,0.3539509536784741,False
