epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,lr
1,0.1684084920107531,0.9631147540983607,0.9714285714285714,0.22150132060050964,235,9,14,476,0.11167038140931208,0.03152271072996145,0.9953412512546002,0.9972923139259287,0.0001
2,0.09688526197355621,0.9836065573770492,0.9714285714285714,0.24747925996780396,240,4,14,476,0.12053791185334604,0.03293663578901535,0.995926731348277,0.9977757495081041,0.0001
3,0.0814273874298865,0.9795081967213115,0.9714285714285714,0.40793919563293457,239,5,14,476,0.07957080899767628,0.021649052430786842,0.9968133154901305,0.9983915910083186,0.0001
4,0.08002809907744626,0.9672131147540983,0.9714285714285714,0.22298738360404968,236,8,14,476,0.09708237523715872,0.029957205874727902,0.9969053195048512,0.9984246670885143,0.0001
5,0.058757666464154874,0.9754098360655737,0.9714285714285714,0.3450872302055359,238,6,14,476,0.07438637939616298,0.022103405186486246,0.9980010036801606,0.9989711442325776,0.0001
6,0.05342820324540353,0.9918032786885246,0.9714285714285714,0.2649145722389221,242,2,14,476,0.09746925348378327,0.027199908118502418,0.9987203077952493,0.9993660868365798,0.0001
7,0.05438783182030251,0.9877049180327869,0.9714285714285714,0.11495353281497955,241,3,14,476,0.10355241109636126,0.029911387416441983,0.9988959518233522,0.9994439555198414,0.0001
8,0.059567422363437525,0.9959016393442623,0.9714285714285714,0.708082303404808,243,1,14,476,0.04324610352464511,0.011700008809804284,0.998745399799264,0.9993326370004189,0.0001
9,0.039191400777585726,0.9877049180327869,0.9714285714285714,0.11951670795679092,241,3,14,476,0.1383968434026774,0.03583468682688053,0.9976078956172633,0.998833708091245,0.0001
10,0.03822813891813535,0.9836065573770492,0.9714285714285714,0.057813216000795364,240,4,14,476,0.14862081778773353,0.04102288067363407,0.9982519237203078,0.9991306873596999,0.0001
11,0.03574934875623895,0.9836065573770492,0.9714285714285714,0.2794032096862793,240,4,14,476,0.10119735316454029,0.02845531530043041,0.9978169956507192,0.9989009660480976,3e-05
12,0.02506508512371013,0.9918032786885246,0.9714285714285714,0.3461451530456543,242,2,14,476,0.07961684169068832,0.022995053815959367,0.9987537638006022,0.9993779667269728,3e-05
