epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,lr
1,0.18312938937093617,0.9959016393442623,0.9713114754098361,0.663603276014328,243,1,14,474,0.07012231174337194,0.017451694222638044,0.9978920317119054,0.9989908088812106,0.0001
2,0.08164747074358673,0.9877049180327869,0.9713114754098361,0.4985745847225189,241,3,14,474,0.07498639635048775,0.020392105839077225,0.9976148884708412,0.9988625206253796,0.0001
3,0.08208610088611457,0.9877049180327869,0.9713114754098361,0.0696597620844841,241,3,14,474,0.20940495259141884,0.05744035301015718,0.9972957538296157,0.9986788266239254,0.0001
4,0.06740285396149137,0.9959016393442623,0.9713114754098361,0.5785785913467407,243,1,14,474,0.05632203729107219,0.015696255093470102,0.9987738511152916,0.9993965833870518,0.0001
5,0.06640086862971639,0.9754098360655737,0.9713114754098361,0.7476212382316589,238,6,14,474,0.060922716263649264,0.016404477030899228,0.9974721177102929,0.998755542332271,0.0001
6,0.05431524925495243,0.9959016393442623,0.9713114754098361,0.36573120951652527,243,1,14,474,0.07856846259670419,0.020595013837713193,0.998211166353131,0.9992058642788895,0.0001
7,0.046264107486768166,0.9836065573770492,0.9713114754098361,0.07418574392795563,240,4,14,474,0.19313961122933074,0.04906728219787054,0.9955237167428113,0.9977849848151435,3e-05
8,0.0379655975202458,0.9836065573770492,0.9713114754098361,0.3144669532775879,240,4,14,474,0.08847685383988035,0.023793902245536215,0.9977996506315507,0.9989583665044152,3e-05
9,0.028429889834969985,0.9877049180327869,0.9713114754098361,0.35793977975845337,241,3,14,474,0.07788270393436848,0.021324569246144624,0.998446318194034,0.999249550844923,3e-05
