epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,lr
1,0.17764795798229163,0.9588477366255144,0.9715447154471545,0.13388139009475708,233,10,14,478,0.15866080190323983,0.03783870079644014,0.9938187962126535,0.9972686207139851,0.0001
2,0.09690988250434285,0.9506172839506173,0.9715447154471545,0.058055579662323,231,12,14,478,0.20863851873031652,0.04932565975914564,0.9936431463080063,0.99717432465113,0.0001
3,0.07994833567774999,0.9876543209876543,0.9715447154471545,0.23144042491912842,240,3,14,478,0.141073690136889,0.03302391112444928,0.9959433236307671,0.9981292736140011,0.0001
4,0.0657427909689278,0.9711934156378601,0.9715447154471545,0.2239670753479004,236,7,14,478,0.14640301124531135,0.03349259216141226,0.9937686105256114,0.9971700197870926,0.0001
5,0.05968547752037673,0.9917695473251029,0.9715447154471545,0.21408843994140625,241,2,14,478,0.14690920329959017,0.030594320167721976,0.9960186021613302,0.9981982746309257,0.0001
6,0.053828407481184046,0.9711934156378601,0.9715447154471545,0.0495857335627079,236,7,14,478,0.1901737079789011,0.04689495711268889,0.9967630231857874,0.9984645069772808,3e-05
7,0.04339056110971262,0.9835390946502057,0.9715447154471545,0.20539093017578125,239,4,14,478,0.1260201413169942,0.028699566650385127,0.9973234300244238,0.9987545589408218,3e-05
8,0.03242909077299319,0.9835390946502057,0.9715447154471545,0.36737921833992004,239,4,14,478,0.0886294962296895,0.022322126475368787,0.9975910870219813,0.9988608053725452,3e-05
9,0.030018152493890553,0.9917695473251029,0.9715447154471545,0.38079383969306946,241,2,14,478,0.09725667495197288,0.022570060248131966,0.997959115393623,0.9990482006412826,3e-05
10,0.02807052465130695,0.9917695473251029,0.9715447154471545,0.3152184784412384,241,2,14,478,0.08728560416582759,0.021693760521034937,0.9980343939241861,0.9990703292736262,3e-05
11,0.02542237819024074,0.9917695473251029,0.9715447154471545,0.14060364663600922,241,2,14,478,0.1481628450161164,0.03039326558758519,0.9971226872762555,0.998666493109815,3e-05
12,0.020856777740099006,0.9876543209876543,0.9715447154471545,0.08783654868602753,240,3,14,478,0.17564013368140452,0.037133399738155076,0.9975659941784603,0.9988768141056041,3e-05
