verifier,specificity,sensitivity,hsas_97,threshold,n_gated
R+D (Stage 1),0.9909762100082035,0.97,0.9594201813642517,0.5872680097818375,3669
V1_all,0.992616899097621,0.970204081632653,0.9631019511480349,0.8561590415403161,2508
V2_rsna,0.9885151763740772,0.970204081632653,0.9614486445028569,0.8036046445338595,2508
V3_dual,0.9893355209187858,0.970204081632653,0.9630447240726931,0.8679336582037589,2508
