epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.18269370487559952,0.9262295081967213,0.9714285714285714,0.8892879555681146,0.2963140308856964,226,18,14,476,0.09654056136845292,0.0288348704219707,0.994672131147541,0.9973759467026577,0.0001,True,first
2,0.0897069051186054,0.9467213114754098,0.9714285714285714,0.8781350486907613,0.07540696859359741,231,13,14,476,0.18621478590683443,0.04273109252305227,0.994078287052526,0.9971812215251665,0.0001,True,higher_specificity
3,0.09102614691618803,0.9508196721311475,0.9714285714285714,0.9041198286253951,0.1463207956403494,232,12,14,476,0.1299565555405235,0.03616403133168559,0.9940030110404817,0.9970332861829605,0.0001,True,specificity_tie_higher_hsas
4,0.07369443563864453,0.9672131147540983,0.9714285714285714,0.9364054576544847,0.398403137922287,236,8,14,476,0.08764061577622466,0.024995768429031368,0.9968384074941452,0.9984276985166158,0.0001,True,higher_specificity
5,0.055677176694561306,0.9508196721311475,0.9714285714285714,0.9236361027526901,0.3165725767612457,232,12,14,476,0.08396514762881095,0.02587075210696391,0.9963449314151891,0.9982027783963523,0.0001,False,lower_specificity
6,0.06392757456242897,0.9426229508196722,0.9714285714285714,0.908887904238353,0.06645471602678299,230,14,14,476,0.15615752191533785,0.04038978389607678,0.9955168952827032,0.9977989364945933,0.0001,False,lower_specificity
7,0.05277800190313619,0.9549180327868853,0.9714285714285714,0.9213223522214842,0.16860640048980713,233,11,14,476,0.13085109407949508,0.03598599940818051,0.9952827032452325,0.9976296530037285,3e-05,False,lower_specificity
8,0.04026670726660755,0.9549180327868853,0.9714285714285714,0.9291287937549961,0.16603326797485352,233,11,14,476,0.10979975462003456,0.030933355806582515,0.9962278353964538,0.9981187887050516,3e-05,False,lower_specificity
9,0.03503588569886218,0.9467213114754098,0.9714285714285714,0.9212106836218947,0.198619544506073,231,13,14,476,0.11162682258045209,0.03173711925160918,0.9958179993308799,0.9979250965154729,3e-05,False,lower_specificity
