epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.17634662779266827,0.9631147540983607,0.9713114754098361,0.9026467128077864,0.10791189223527908,235,9,14,474,0.16190991170606162,0.04572878020892887,0.995725275463585,0.9979740535559417,0.0001,True,first
2,0.09316735203771949,0.9754098360655737,0.9713114754098361,0.937477372935768,0.4088614284992218,238,6,14,474,0.07857609723654355,0.022933276918571978,0.9973125503896801,0.9986913346415855,0.0001,True,higher_specificity
3,0.09580824279316132,0.9918032786885246,0.9713114754098361,0.9643686078327735,0.22981491684913635,242,2,14,474,0.11244881120145546,0.03200833209470415,0.9985219027143242,0.9992817604992887,0.0001,True,higher_specificity
4,0.06957044767354399,0.9918032786885246,0.9713114754098361,0.9736069221347733,0.7384428083896637,242,2,14,474,0.04160488299637786,0.012776661800220461,0.9990425960763236,0.9995254596473863,0.0001,True,specificity_tie_higher_hsas
5,0.0711973670543067,0.9959016393442623,0.9713114754098361,0.9779851794102614,0.9039978384971619,243,1,14,474,0.0462894973635589,0.01311274721952826,0.9991517737167429,0.9995792876271401,0.0001,True,specificity_tie_higher_hsas
6,0.06412835649948205,1.0,0.9713114754098361,0.9601075573845202,0.5707610845565796,244,0,14,474,0.061522218351079266,0.015753944328119673,0.998454716474066,0.9992887778718103,0.0001,False,specificity_tie_lower_hsas
7,0.05484736108807395,0.9836065573770492,0.9713114754098361,0.9504901781919959,0.11480586230754852,240,4,14,474,0.15075044264115087,0.04183444089375734,0.9979592179521635,0.9990133646300203,0.0001,False,lower_specificity
8,0.05903455276640087,0.9959016393442623,0.9713114754098361,0.9515303215687775,0.36848723888397217,243,1,14,474,0.08634181918511474,0.023501539679714578,0.998211166353131,0.9991588587979727,3e-05,False,specificity_tie_lower_hsas
9,0.03547242511573023,1.0,0.9713114754098361,0.9606678120645156,0.5270178914070129,244,0,14,474,0.0695365075863592,0.019089559984361956,0.9986394786347756,0.9993443457185522,3e-05,False,specificity_tie_lower_hsas
10,0.03692030571397778,0.9959016393442623,0.9713114754098361,0.9680470366071732,0.7139592170715332,243,1,14,474,0.048641158447297564,0.013157018437092025,0.9988158425154527,0.9994322847801528,3e-05,False,specificity_tie_lower_hsas
