ensemble,n_members,specificity,hsas_97,nll,threshold
E0 R_v4+D,2,0.9909762100082035,0.9594201813642517,0.057725457718151,0.5872680097818375
E1 R_v6+D,2,0.992616899097621,0.9450075899958296,0.062070656680772635,0.5691630765795708
E2 R_v4+R_v6+D,3,0.9917965545529123,0.9564315524704381,0.0581230807120083,0.5858843550086021
