epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,partial_auc_sens97
0,,0.9959016393442623,0.9713114754098361,0.5785785913467407,243,1,14,474,0.05632203729107219,0.015696255093470102,0.9987738511152916,0.9993965833870518,0.9693606782252806
1,0.03269031234985475,0.9959016393442623,0.9713114754098361,0.6357125341892242,243,1,14,474,0.05953002206758755,0.01580690617624176,0.9988494356355819,0.9994290256811761,0.9730149092626323
2,0.020348800022820628,0.9959016393442623,0.9713114754098361,0.45213764905929565,243,1,14,474,0.07168331834390848,0.018807238596341376,0.9988578339156141,0.9994443000524968,0.9682362994445569
3,0.01836021050387141,0.9959016393442623,0.9713114754098361,0.3344673216342926,243,1,14,474,0.09479130101926855,0.024220866139321014,0.9987738511152916,0.9994088336394179,0.9657064471879285
