epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,partial_auc_sens97
0,,0.9754098360655737,0.9714285714285714,0.6014294624328613,238,6,14,476,0.08097588293782544,0.022314076269475524,0.9966962194713951,0.9983923667410899,0.9422626193334478
1,0.02197625163035703,0.9795081967213115,0.9714285714285714,0.4765336811542511,239,5,14,476,0.09436793567937733,0.02451778849748674,0.9963616594178655,0.9982423525279696,0.9302649930264993
2,0.014368738578954768,0.9795081967213115,0.9714285714285714,0.308817058801651,239,5,14,476,0.12005800853128208,0.0287257692361649,0.9960856473737035,0.9981106871525157,0.923718441351436
3,0.0136934360775981,0.9713114754098361,0.9714285714285714,0.37771813571453094,237,7,14,476,0.11862169427018922,0.027772426232820786,0.9950150552024088,0.9976428654038624,0.906139671058297
