epoch,train_loss,specificity,sensitivity,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,partial_auc_sens97
0,,0.9959016393442623,0.9714285714285714,0.708082303404808,243,1,14,476,0.04324610352464511,0.011700008809804284,0.998745399799264,0.9993326370004189,0.9851627893955937
1,0.03448529899442325,0.9959016393442623,0.9714285714285714,0.45535263419151306,243,1,14,476,0.07036341361851618,0.020444520625811202,0.998887587822014,0.999427869227142,0.9823633156966489
2,0.022418728646110084,0.9959016393442623,0.9714285714285714,0.6342428922653198,243,1,14,476,0.04691046694147703,0.013069454178664487,0.9989126798260288,0.9994389509883754,0.9840429999160157
3,0.015013622885429057,0.9959016393442623,0.9714285714285714,0.5330754444003105,243,1,14,476,0.0601844295610914,0.017339692812489236,0.9989795918367347,0.9994738085924855,0.9848828420256991
