ens,n,oof_spec,oof_hsas,ben_spec,ben_sens,fp,ben_auc,ben_hsas,thr
R,1,0.9844134536505332,0.9500964838924008,0.7688888888888888,0.9950738916256158,52,0.9778653530377668,0.8298407360742509,0.4133181273937225
D,1,0.9909762100082035,0.9444611921040291,0.8044444444444444,0.9950738916256158,44,0.9801423097974822,0.8386274610025408,0.6388598680496216
T,1,0.985233798195242,0.9101235449484177,0.6577777777777778,0.9950738916256158,77,0.9788943623426383,0.8008518433131684,0.1060368865728378
R+D,2,0.9909762100082035,0.9594201813642517,0.8222222222222222,0.9950738916256158,40,0.9792446633825943,0.8369051187423115,0.5872680097818375
R+T,2,0.9893355209187858,0.9560410624855007,0.7866666666666666,0.9950738916256158,48,0.9796825396825396,0.8282162584480844,0.44991955859586596
D+T,2,0.9909762100082035,0.9458561824714736,0.7688888888888888,0.9950738916256158,52,0.9808429118773947,0.8342486746672148,0.4563753828406334
R+D+T,3,0.9909762100082035,0.9598750731131002,0.7822222222222223,0.9950738916256158,49,0.9801204159824848,0.8342881204073548,0.5111231406529745
