epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.28775008281714315,0.9506172839506173,0.9715447154471545,0.8432964472598461,0.12789610028266907,231,12,14,478,0.131852791403296,0.03283934162701816,0.9932667536551909,0.9969058133231308,5e-05,True,first
2,0.1593805450048734,0.9547325102880658,0.9715447154471545,0.8347860805208592,0.008880632929503918,232,11,14,478,0.23350224529376012,0.048610745121719284,0.9923299541637391,0.9964888725774704,4.898732434036244e-05,False,specificity_tie_lower_hsas
3,0.12675158395016325,0.9753086419753086,0.9715447154471545,0.8166651459992775,0.13765226304531097,237,6,14,478,0.15363337459198334,0.03311504175144303,0.992564154036602,0.996712573846751,4.6031338320779534e-05,True,higher_specificity
4,0.10120205017395055,0.9670781893004116,0.9715447154471545,0.8961214310512401,0.04754941910505295,235,8,14,478,0.15786280804432426,0.03056271289179624,0.9957509451637725,0.9979724985939082,4.137151834863213e-05,False,lower_specificity
5,0.09518320045805753,0.9465020576131687,0.9715447154471545,0.7907271719874815,0.0012469278881326318,230,13,14,478,0.3603236618824473,0.0652614959847492,0.9917026330757135,0.9964248715335813,3.5385375325047166e-05,False,lower_specificity
6,0.07157304637843963,0.9753086419753086,0.9715447154471545,0.9086937309529474,0.10377314686775208,237,6,14,478,0.13856341797439137,0.02867286813987787,0.9962360734718458,0.9982486397563058,2.8557870956832132e-05,True,specificity_tie_higher_hsas
7,0.061371436465324676,0.9753086419753086,0.9715447154471545,0.906564916383072,0.02142167277634144,237,6,14,478,0.14838513539403902,0.027109978244710592,0.9963866305329719,0.9983683436600691,2.1442129043167874e-05,False,specificity_tie_lower_hsas
8,0.0570110357717871,0.9794238683127572,0.9715447154471545,0.9264926719954166,0.03656618669629097,238,5,14,478,0.12427409123988609,0.02483488518546516,0.9973234300244237,0.9987543167845987,1.4614624674952842e-05,True,specificity_tie_higher_hsas
9,0.03860132153148315,0.9958847736625515,0.9715447154471545,0.9363577152468125,0.004917076788842678,242,1,14,478,0.20816222280746605,0.040693591727237084,0.9975241727725919,0.9988487294532606,8.628481651367876e-06,True,higher_specificity
10,0.0263511514254969,0.9876543209876543,0.9715447154471545,0.9310539157989018,0.0032661715522408485,240,3,14,478,0.198571160096944,0.03708003716809059,0.9973317943055974,0.9987860737292794,3.968661679220468e-06,False,lower_specificity
11,0.029543658036733273,0.9835390946502057,0.9715447154471545,0.9311214435803162,0.0064474549144506454,239,4,14,478,0.16658263235779355,0.029240504447397946,0.9973067014620763,0.9987591155483109,1.0126756596375686e-06,False,lower_specificity
12,0.02353604051225614,0.9835390946502057,0.9715447154471545,0.9321778127142007,0.009535357356071472,239,4,14,478,0.1577855157790815,0.027565815384718684,0.9973485228679447,0.9987776461971238,0.0,False,lower_specificity
