epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.2613877037404237,0.930327868852459,0.9714285714285714,0.8520527455050201,0.020839432254433632,227,17,14,476,0.20901489953940094,0.05321766952443767,0.9908246905319504,0.9949915187768358,5e-05,True,first
2,0.17836868621013155,0.9631147540983607,0.9714285714285714,0.9116755541570731,0.6013795733451843,235,9,14,476,0.09793347623883766,0.025176339732055734,0.9944881231180998,0.9973003618376783,4.898732434036244e-05,True,higher_specificity
3,0.1429860306424083,0.9344262295081968,0.9714285714285714,0.8599130986696013,0.004435727838426828,228,16,14,476,0.41514256260978133,0.09957250120448773,0.9936099029775844,0.9969345612543901,4.6031338320779534e-05,False,lower_specificity
4,0.11502445314464127,0.9754098360655737,0.9714285714285714,0.9387472242156939,0.07261776924133301,238,6,14,476,0.1549756720293474,0.03647324542673937,0.9968969555035129,0.9984583761355265,4.137151834863213e-05,True,higher_specificity
5,0.08900481148200592,0.9754098360655737,0.9714285714285714,0.9224376868559334,0.15904490649700165,238,6,14,476,0.13044016539915881,0.030350927666343827,0.9959769153563064,0.9979606557156309,3.5385375325047166e-05,False,specificity_tie_lower_hsas
6,0.09613343979475744,0.9713114754098361,0.9714285714285714,0.9260058743572243,0.4204670488834381,237,7,14,476,0.11050849435758983,0.025115342458483892,0.9952241552358648,0.99736934121997,2.8557870956832132e-05,False,specificity_tie_lower_hsas
7,0.057288031313560805,0.9672131147540983,0.9714285714285714,0.941002954098097,0.06322313845157623,236,8,14,476,0.13902487928783183,0.030345655568025463,0.9967045834727333,0.9983286869273179,2.1442129043167874e-05,False,lower_specificity
8,0.0528669099359281,0.9795081967213115,0.9714285714285714,0.933366542400009,0.008140147663652897,239,5,14,476,0.187927121763389,0.03954183544766723,0.996763131482101,0.9983762590650679,1.4614624674952842e-05,False,specificity_tie_lower_hsas
