epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.2617003494195711,0.8401639344262295,0.9714285714285714,0.7455070857483882,0.43009576201438904,205,39,14,476,0.1895258095727418,0.05055821196491487,0.9841418534626966,0.9875958759553984,5e-05,True,first
2,0.19545593250785712,0.930327868852459,0.9714285714285714,0.7838131838383319,0.002194821834564209,227,17,14,476,0.2825828816666008,0.048786951913524244,0.9879349280695884,0.9938947329034423,4.898732434036244e-05,True,higher_specificity
3,0.13590351257402103,0.9467213114754098,0.9714285714285714,0.8685176399911578,0.002893441589549184,231,13,14,476,0.261810908727962,0.0475514026142675,0.9929073268651724,0.9965014788766127,4.6031338320779534e-05,True,higher_specificity
4,0.10912391929881678,0.9467213114754098,0.9714285714285714,0.8537358552008519,0.007024186663329601,231,13,14,476,0.26112032658248446,0.057100136458204574,0.9935262629642021,0.9968658997033595,4.137151834863213e-05,False,specificity_tie_lower_hsas
5,0.09968491789717049,0.9672131147540983,0.9714285714285714,0.8720029659637097,0.0010566114215180278,236,8,14,476,0.4122984548631089,0.07826660642222308,0.9948310471729674,0.9976093854271362,3.5385375325047166e-05,True,higher_specificity
6,0.07196679787203528,0.9754098360655737,0.9714285714285714,0.8813143627089283,0.0018230009591206908,238,6,14,476,0.39688957681612086,0.07907803376514828,0.995374707259953,0.9978445104529957,2.8557870956832132e-05,True,higher_specificity
7,0.05122839107574353,0.9836065573770492,0.9714285714285714,0.9352345524005233,0.10792918503284454,240,4,14,476,0.13883410275480762,0.02996776741792802,0.9969471395115423,0.998483140361206,2.1442129043167874e-05,True,higher_specificity
8,0.05631437939124933,0.9713114754098361,0.9714285714285714,0.8843255915337535,0.005080172326415777,237,7,14,476,0.2361328160684741,0.046621973643614485,0.9954667112746739,0.9979214604231798,1.4614624674952842e-05,False,lower_specificity
9,0.03256270631736307,0.9713114754098361,0.9714285714285714,0.9177818401631652,0.030110904946923256,237,7,14,476,0.17244835428513688,0.03466766830183965,0.995893275342924,0.9979703381406302,8.628481651367876e-06,False,lower_specificity
10,0.02821615799630243,0.9713114754098361,0.9714285714285714,0.9401543705226538,0.04050390422344208,237,7,14,476,0.14943628177328552,0.03047923062840803,0.9969889595182335,0.9985062343964431,3.968661679220468e-06,False,lower_specificity
11,0.026093716590847544,0.9713114754098361,0.9714285714285714,0.9324189963185839,0.011675851419568062,237,7,14,476,0.17820710575398083,0.032782852430545524,0.9966460354633657,0.9983471955407957,1.0126756596375686e-06,False,lower_specificity
