epoch,train_loss,specificity,sensitivity,hsas_97,threshold,tn,fp,fn,tp,nll,brier,auc,pr_auc,learning_rate,selected,selection_reason
1,0.259274778826776,0.9139344262295082,0.9714285714285714,0.617011509204859,0.012947265058755875,223,21,14,476,0.30602721443595354,0.07608091418883912,0.983949481431917,0.9932484901079646,5e-05,True,first
2,0.16555416650424543,0.9754098360655737,0.9714285714285714,0.9624454017015287,0.01216930616647005,238,6,14,476,0.3382495202724135,0.09238750916750378,0.9973318835731014,0.9986207007921032,4.898732434036244e-05,True,higher_specificity
3,0.14211528010756327,0.9549180327868853,0.9714285714285714,0.8742713360196489,0.0006922137108631432,233,11,14,476,0.49227490954578346,0.09531021231190233,0.9939946470391435,0.9973487457408201,4.6031338320779534e-05,False,lower_specificity
4,0.11138156860298212,0.9877049180327869,0.9714285714285714,0.9732071718400004,0.9619056582450867,241,3,14,476,0.050455372513959866,0.012212562732551217,0.9985028437604551,0.9992392011852382,4.137151834863213e-05,True,higher_specificity
5,0.09704453642927657,0.9918032786885246,0.9714285714285714,0.9770263609967643,0.3068152666091919,242,2,14,476,0.09589325627984022,0.023375255006359872,0.998260287721646,0.9990690459680271,3.5385375325047166e-05,True,specificity_tie_higher_hsas
6,0.07638634887376666,0.9795081967213115,0.9714285714285714,0.9593603698643322,0.23022904992103577,239,5,14,476,0.09675462464732443,0.023107571884608734,0.9984192037470726,0.9992191545242588,2.8557870956832132e-05,False,lower_specificity
7,0.06878325639577683,0.9877049180327869,0.9714285714285714,0.9296431625725173,0.023661287501454353,241,3,14,476,0.16721818412307682,0.03735219935156927,0.9973235195717631,0.9987632178232582,2.1442129043167874e-05,False,specificity_tie_lower_hsas
8,0.042513364599885375,0.9918032786885246,0.9714285714285714,0.9722154098712228,0.012045145966112614,242,2,14,476,0.18311519546873312,0.037241578133151564,0.9986533957845434,0.9993515858201405,1.4614624674952842e-05,False,specificity_tie_lower_hsas
9,0.046391440747577166,0.9918032786885246,0.9714285714285714,0.9663613670152664,0.14538925886154175,242,2,14,476,0.12639257914440566,0.02548312126566472,0.9986617597858816,0.9993402215784495,8.628481651367876e-06,False,specificity_tie_lower_hsas
